Total Loan Amount,Booking Month,0,1,2,3,4,5,6,%As of Today X
"64,982,000.00",202101,0.00%,4.44%,7.73%,8.38%,7.88%,9.13%,9.31%,8.30%
"77,536,000.00",202102,0.00%,9.35%,9.50%,9.25%,9.44%,11.36%,11.13%,8.07%
"112,215,000.00",202103,3.32%,2.66%,7.31%,4.32%,6.76%,9.53%,8.32%,7.76%
"111,911,000.00",202104,0.02%,14.30%,4.79%,9.78%,19.02%,13.34%,14.72%,15.55%
"218,686,227.00",202105,1.35%,1.78%,3.76%,5.35%,5.97%,6.56%,5.68%,4.97%
"229,378,077.00",202106,0.00%,3.85%,10.47%,7.67%,8.37%,8.12%,7.75%,7.22%
"368,390,600.00",202107,0.00%,5.77%,7.11%,9.28%,9.64%,9.77%,9.50%,9.68%
"312,598,600.00",202108,5.50%,4.10%,6.14%,7.08%,9.62%,8.97%,9.75%,9.14%
"149,148,100.00",202109,0.00%,3.03%,4.11%,7.16%,7.24%,5.77%,7.51%,7.51%
"245,151,600.00",202110,0.00%,1.84%,5.20%,6.31%,4.60%,7.12%,,7.12%
"242,807,900.00",202111,0.00%,6.08%,8.35%,5.99%,9.40%,,,9.40%
"307,014,200.00",202112,3.25%,8.13%,6.88%,9.90%,,,,9.90%
"356,478,300.00",202201,6.37%,6.57%,13.17%,,,,,13.17%
"330,305,900.00",202202,0.00%,10.92%,,,,,,10.92%
