MOB,Values,Avalue,PDMonthVal,Subsets,,,,,,,,,,,,
0,0.0332,0.0332,0.0444,Train,,,,,,,,,,,,
0,0.0332,0.0332,0.0444,Train,,,,,,,,,,,,
0,0.0332,0.0332,0.0935,Train,,,,,,,,,,,,
0,0.0002,0.0332,0.0266,Train,,,,,,,,,,,,
0,0.0135,0.0002,0.143,Train,,,,,,,,,,,,
0,0.0135,0.0135,0.0178,Train,,,,,,,,,,,,
0,0.0135,0.0135,0.0385,Train,,,,,,,,,,,,
0,0.055,0.055,0.0577,Train,,,,,,,,,,,,
0,0.055,0.055,0.041,Train,,,,,,,,,,,,
0,0.055,0.0325,0.0303,Train,,,,,,,,,,,,
0,0.0325,0.0325,0.0184,Train,,,,,,,,,,,,
0,0.0325,0.0325,0.0608,Train,,,,,,,,,,,,
0,0.0637,0.0325,0.0813,Train,,,,,,,,,,,,
0,0.0444,0.0637,0.0657,Train,,,,,,,,,,,,
1,0.0444,0.0444,0.0657,Train,,,,,,,,,,,,
1,0.0935,0.0444,0.0773,Train,,,,,,,,,,,,
1,0.0266,0.0935,0.095,Train,,,,,,,,,,,,
1,0.143,0.0266,0.0731,Train,,,,,,,,,,,,
1,0.0178,0.143,0.0479,Train,,,,,,,,,,,,
1,0.0385,0.0178,0.0376,Train,,,,,,,,,,,,
1,0.0577,0.0385,0.1047,Train,,,,,,,,,,,,
1,0.041,0.0577,0.0711,Train,,,,,,,,,,,,
1,0.0303,0.041,0.0614,Train,,,,,,,,,,,,
1,0.0184,0.0303,0.0411,Train,,,,,,,,,,,,
1,0.0608,0.0184,0.052,Train,,,,,,,,,,,,
1,0.0813,0.0608,0.0835,Train,,,,,,,,,,,,
1,0.0657,0.0813,0.0688,Train,,,,,,,,,,,,
2,0.0773,0.0773,0.0838,Train,,,,,,,,,,,,
2,0.095,0.0773,0.0838,Train,,,,,,,,,,,,
2,0.0731,0.095,0.0925,Train,,,,,,,,,,,,
2,0.0479,0.0731,0.0432,Train,,,,,,,,,,,,
2,0.0376,0.0479,0.0978,Train,,,,,,,,,,,,
2,0.1047,0.0376,0.0535,Train,,,,,,,,,,,,
2,0.0711,0.1047,0.0767,Train,,,,,,,,,,,,
2,0.0614,0.0711,0.0928,Train,,,,,,,,,,,,
2,0.0411,0.0614,0.0708,Train,,,,,,,,,,,,
2,0.052,0.0411,0.0716,Train,,,,,,,,,,,,
2,0.0835,0.052,0.0631,Train,,,,,,,,,,,,
2,0.0688,0.0835,0.0599,Train,,,,,,,,,,,,
3,0.0838,0.0838,0.0788,Train,,,,,,,,,,,,
3,0.0925,0.0838,0.0788,Train,,,,,,,,,,,,
3,0.0432,0.0925,0.0944,Train,,,,,,,,,,,,
3,0.0978,0.0432,0.0676,Train,,,,,,,,,,,,
3,0.0535,0.0978,0.1902,Train,,,,,,,,,,,,
3,0.0767,0.0535,0.0597,Train,,,,,,,,,,,,
3,0.0928,0.0767,0.0837,Train,,,,,,,,,,,,
3,0.0708,0.0928,0.0964,Train,,,,,,,,,,,,
3,0.0716,0.0708,0.0962,Train,,,,,,,,,,,,
3,0.0631,0.0716,0.0724,Train,,,,,,,,,,,,
3,0.099,0.0599,0.094,Train,,,,,,,,,,,,
4,0.0788,0.0788,0.0913,Train,,,,,,,,,,,,
4,0.0944,0.0788,0.0913,Train,,,,,,,,,,,,
4,0.0676,0.0944,0.1136,Train,,,,,,,,,,,,
4,0.1902,0.0676,0.0953,Train,,,,,,,,,,,,
4,0.0597,0.1902,0.1334,Train,,,,,,,,,,,,
4,0.0837,0.0597,0.0656,Train,,,,,,,,,,,,
4,0.0964,0.0837,0.0812,Train,,,,,,,,,,,,
4,0.0724,0.0962,0.0897,Train,,,,,,,,,,,,
4,0.046,0.0724,0.0577,Train,,,,,,,,,,,,
4,0.094,0.046,0.0712,Train,,,,,,,,,,,,
5,0.0913,0.094,0.0712,Train,,,,,,,,,,,,
5,0.1136,0.0913,0.0931,Train,,,,,,,,,,,,
5,0.0953,0.1136,0.1113,Train,,,,,,,,,,,,
5,0.1334,0.0953,0.0832,Train,,,,,,,,,,,,
5,0.0656,0.1334,0.1472,Train,,,,,,,,,,,,
5,0.0812,0.0656,0.0568,Train,,,,,,,,,,,,
